iter	Passed	Remaining
410	4168	16115
411	4176	16097
412	4184	16080
413	4192	16062
414	4201	16045
415	4209	16027
416	4218	16012
417	4227	15999
418	4235	15980
419	4243	15964
420	4253	15951
421	4263	15942
422	4271	15924
423	4280	15909
424	4289	15898
425	4298	15881
426	4309	15875
427	4323	15879
428	4331	15862
429	4340	15847
430	4349	15833
431	4356	15812
432	4365	15799
433	4373	15781
434	4383	15768
435	4390	15747
436	4399	15734
437	4407	15716
438	4415	15700
439	4424	15686
440	4433	15672
441	4441	15656
442	4451	15646
443	4461	15633
444	4469	15617
445	4478	15603
446	4486	15587
447	4495	15572
448	4503	15555
449	4512	15542
450	4520	15526
451	4529	15513
452	4537	15497
453	4546	15483
454	4554	15465
455	4562	15449
456	4570	15432
457	4578	15416
458	4587	15400
459	4595	15383
460	4603	15368
461	4611	15351
462	4619	15336
463	4628	15322
464	4636	15306
465	4644	15289
466	4653	15275
467	4661	15258
468	4669	15241
469	4677	15226
470	4685	15210
471	4694	15197
472	4703	15184
473	4713	15175
474	4722	15161
475	4731	15149
476	4740	15136
477	4748	15119
478	4755	15101
479	4763	15085
480	4772	15070
481	4780	15055
482	4788	15039
483	4799	15033
484	4818	15052
485	4837	15068
486	4854	15082
487	4868	15083
488	4881	15084
489	4893	15080
490	4908	15086
491	4924	15094
492	4938	15094
493	4998	15239
494	5034	15307
495	5078	15398
496	5129	15511
497	5156	15552
498	5168	15548
499	5178	15535
500	5193	15539
501	5210	15548
502	5220	15538
503	5231	15528
504	5244	15524
505	5253	15510
506	5266	15508
507	5286	15525
508	5298	15519
509	5312	15521
510	5328	15525
511	5341	15524
512	5354	15520
513	5365	15511
514	5374	15498
515	5384	15486
516	5394	15474
517	5403	15459
518	5417	15459
519	5436	15472
520	5451	15475
521	5465	15474
522	5484	15488
523	5497	15485
524	5508	15475
525	5517	15461
526	5531	15460
527	5540	15445
528	5552	15441
529	5570	15450
530	5581	15439
531	5600	15452
532	5613	15450
533	5623	15439
534	5636	15435
535	5650	15433
536	5663	15428
537	5675	15421
538	5684	15409
539	5695	15399
540	5706	15390
541	5716	15376
542	5725	15363
543	5740	15365
544	5756	15367
545	5767	15359
546	5780	15354
547	5794	15352
548	5807	15348
549	5818	15339
550	5827	15325
551	5840	15321
552	5860	15333
553	5873	15330
554	5894	15346
555	5957	15471
556	5990	15519
557	6011	15535
558	6032	15550
559	6066	15599
560	6156	15791
561	6214	15900
562	6244	15939
563	6269	15961
564	6307	16018
565	6336	16052
566	6348	16046
567	6362	16041
568	6384	16056
569	6412	16087
570	6427	16085
571	6440	16078
572	6461	16090
573	6473	16082
574	6494	16093
575	6508	16091
576	6520	16081
577	6530	16066
578	6542	16057
579	6555	16048
580	6565	16035
581	6578	16027
582	6590	16017
583	6604	16012
584	6616	16004
585	6630	15998
586	6644	15994
587	6657	15987
588	6669	15977
589	6679	15963
590	6693	15958
591	6709	15957
592	6724	15954
593	6734	15940
594	6748	15936
595	6768	15944
596	6786	15947
597	6802	15949
598	6815	15940
599	6827	15931
600	6837	15916
601	6849	15905
602	6862	15899
603	6877	15894
604	6892	15892
605	6904	15882
606	6923	15889
607	6943	15898
608	6962	15903
609	6977	15898
610	6998	15908
611	7011	15902
612	7026	15897
613	7040	15892
614	7057	15892
615	7083	15915
616	7100	15915
617	7123	15930
618	7139	15927
619	7150	15915
620	7164	15909
621	7185	15918
622	7222	15964
623	7239	15963
624	7259	15971
625	7274	15966
626	7286	15955
627	7300	15949
628	7312	15939
629	7324	15927
630	7341	15927
631	7356	15923
632	7373	15923
633	7405	15954
634	7420	15950
635	7441	15959
636	7465	15973
637	7490	15990
638	7504	15984
639	7527	15995
640	7560	16030
641	7598	16073
642	7615	16072
643	7631	16069
644	7644	16058
645	7656	16048
646	7672	16044
647	7685	16035
648	7700	16029
649	7712	16018
650	7726	16011
651	7742	16006
652	7753	15993
653	7765	15982
654	7780	15975
655	7793	15966
656	7803	15951
657	7819	15948
658	7834	15942
659	7845	15928
660	7856	15914
661	7869	15905
662	7887	15905
663	7897	15890
664	7910	15880
665	7924	15871
666	7938	15865
667	7952	15857
668	7965	15847
669	7979	15840
670	7993	15832
671	8006	15823
672	8019	15813
673	8034	15806
674	8046	15795
675	8058	15784
676	8115	15859
677	8142	15877
678	8157	15870
679	8184	15887
680	8195	15873
681	8205	15856
682	8222	15855
683	8240	15853
684	8259	15855
685	8269	15840
686	8279	15823
687	8289	15807
688	8297	15788
689	8306	15770
690	8315	15752
691	8328	15742
692	8339	15727
693	8348	15709
694	8357	15692
695	8367	15676
696	8376	15658
697	8386	15642
698	8393	15621
699	8402	15605
700	8411	15587
701	8420	15570
702	8429	15551
703	8437	15533
704	8446	15515
705	8454	15495
706	8463	15477
707	8471	15458
708	8479	15439
709	8491	15427
710	8501	15413
711	8510	15395
712	8520	15379
713	8531	15365
714	8543	15353
715	8552	15337
716	8574	15343
717	8595	15347
718	8630	15375
719	8764	15581
720	8782	15578
721	8803	15582
722	8833	15602
723	8851	15599
724	8864	15589
725	8885	15592
726	8912	15605
727	8922	15589
728	8931	15572
729	8941	15555
730	8949	15535
731	8958	15517
732	8967	15500
733	8980	15489
734	8990	15472
735	8997	15453
736	9006	15435
737	9015	15417
738	9025	15399
739	9034	15383
740	9044	15367
741	9051	15346
742	9060	15329
743	9070	15312
744	9078	15293
745	9086	15274
746	9094	15255
747	9103	15237
748	9112	15219
749	9119	15199
750	9129	15183
751	9139	15167
752	9147	15148
753	9155	15129
754	9164	15111
755	9173	15094
756	9181	15075
757	9191	15059
758	9200	15043
759	9208	15024
760	9217	15007
761	9227	14991
762	9235	14973
