iter	RMSE
0	273.9820576
1	269.8442191
2	265.7127089
3	261.7158604
4	258.213993
5	254.3371162
6	250.5227821
7	247.0190198
8	243.378122
9	239.8855057
10	236.8667393
11	233.629914
12	230.4012133
13	227.5456792
14	224.2691636
15	221.6313492
16	218.9126828
17	216.0994065
18	213.247698
19	210.761397
20	208.3561467
21	205.6346589
22	203.347657
23	201.0841024
24	198.5903803
25	196.0985672
26	193.6449376
27	191.6784839
28	189.344296
29	187.3673408
30	185.2780716
31	183.3301172
32	181.7483407
33	179.8434878
34	177.9881364
35	176.2280121
36	174.8283538
37	173.3064029
38	171.8717883
39	170.4644981
40	168.9363391
41	167.4192011
42	165.6833732
43	164.0492115
44	162.4627963
45	161.0960878
46	159.6417442
47	158.2007139
48	157.0243305
49	155.5452825
50	154.3864827
51	152.9718816
52	152.136287
53	150.9086549
54	149.6426898
55	148.5592543
56	147.5684131
57	146.4702055
58	145.4329297
59	144.5127079
60	143.5903257
61	142.6265439
62	141.522746
63	140.4233716
64	139.4283411
65	138.40454
66	137.3310512
67	136.6273164
68	135.5045638
69	134.6312692
70	133.7745229
71	132.8802342
72	132.0346412
73	131.1686405
74	130.4583495
75	129.5728829
76	128.9251538
77	128.032097
78	127.0394589
79	126.1790398
80	125.3897153
81	124.5265582
82	123.7396514
83	122.8890673
84	122.0453825
85	121.3621446
86	120.4460859
87	119.8557863
88	119.0047048
89	118.3467081
90	117.6835902
91	116.9727102
92	116.5144502
93	115.8754591
94	115.2627468
95	114.5863821
96	113.9709076
97	113.4044182
98	112.7682059
99	112.218392
100	111.8215288
101	111.2959019
102	110.7968166
103	110.2743953
104	109.8344414
105	109.3697835
106	108.9222846
107	108.384173
108	107.9893696
109	107.4033475
110	106.770841
111	106.2708385
112	105.908427
113	105.4609129
114	105.1475562
115	104.6463416
116	104.2341808
117	103.8929184
118	103.4968536
119	103.0812183
120	102.6852508
121	102.322783
122	101.9476425
123	101.5799382
124	101.1194401
125	100.7013453
126	100.4116378
127	99.99429059
128	99.71639393
129	99.37493802
130	98.97304983
131	98.65159086
132	98.26245052
133	97.82217602
134	97.5221612
135	97.22155033
136	96.91461329
137	96.5803636
138	96.2536017
139	96.00118727
140	95.72713558
141	95.48747735
142	95.08009104
143	94.73632349
144	94.36516137
145	93.95270438
146	93.70113435
147	93.47090874
148	93.17112209
149	92.85362976
150	92.58685058
151	92.21947854
152	91.97054214
153	91.71166018
154	91.38502128
155	91.103169
156	90.83457791
157	90.62241744
158	90.27976868
159	89.95326294
160	89.71076642
161	89.48166373
162	89.37925444
163	89.19822146
164	88.97360602
165	88.70009547
166	88.47769027
167	88.22258002
168	87.90804246
169	87.61646724
170	87.35030851
171	87.15913353
172	86.96031318
173	86.69494669
174	86.52139076
175	86.29722965
176	86.03126585
177	85.83724643
178	85.53249073
179	85.33071002
180	85.04922544
181	84.85683451
182	84.61203667
183	84.46321476
184	84.25650854
185	84.09410426
186	83.84553022
187	83.64024079
188	83.46077877
189	83.28807363
190	83.15673189
191	82.97163424
192	82.6256865
193	82.40370382
194	82.10021785
195	81.90781846
196	81.78513123
197	81.5898933
198	81.41115344
199	81.27978014
200	81.09189977
201	80.900097
